Entity,Code,Year,Gender wage gap - Occupation (Skill level): Total
Uganda,UGA,2021,48.334
Ukraine,UKR,2012,19.98
Ukraine,UKR,2016,20.34
United Kingdom,GBR,1995,19.75
United Kingdom,GBR,1996,19.51
United Kingdom,GBR,1997,19.76
United Kingdom,GBR,2005,19.715
United Kingdom,GBR,2006,20.979
United Kingdom,GBR,2007,19.265
United Kingdom,GBR,2008,19.037
United Kingdom,GBR,2009,18.939
United Kingdom,GBR,2010,18.731
United Kingdom,GBR,2011,18.51
United Kingdom,GBR,2012,18.137
United Kingdom,GBR,2013,17.875
United Kingdom,GBR,2014,17.437
United Kingdom,GBR,2015,18.732
United Kingdom,GBR,2016,17.858
United Kingdom,GBR,2017,18.518
United Kingdom,GBR,2018,19.322
United Kingdom,GBR,2019,18.97
United Kingdom,GBR,2020,16.157
United Kingdom,GBR,2021,18.27
United Kingdom,GBR,2022,16.914
United Kingdom,GBR,2023,14.577
United Kingdom,GBR,2024,16.28
United States,USA,2003,17.879
United States,USA,2004,17.697
United States,USA,2005,19.039
United States,USA,2006,18.125
United States,USA,2007,16.768
United States,USA,2008,17.526
United States,USA,2009,16.402
United States,USA,2010,14.496
United States,USA,2011,12.596
United States,USA,2012,14.761
United States,USA,2013,16.77
United States,USA,2014,14.37
United States,USA,2015,14.031
United States,USA,2016,13.363
United States,USA,2017,12.657
United States,USA,2018,13.781
United States,USA,2019,13.958
United States,USA,2020,13.771
United States,USA,2021,13.759
United States,USA,2022,11.193
United States,USA,2023,13.504
United States,USA,2024,15.321
United States,USA,2025,19.195
Uruguay,URY,1989,22.22
Uruguay,URY,1992,21.82
Uruguay,URY,1995,16.32
Uruguay,URY,1996,14.94
Uruguay,URY,1997,13.29
Uruguay,URY,2020,-3.576
Uruguay,URY,2022,1.369
Uruguay,URY,2023,4.781
Uruguay,URY,2024,0.858
Uzbekistan,UZB,2021,1.66
Uzbekistan,UZB,2022,27.32
Vanuatu,VUT,2010,22.56
Venezuela,VEN,1989,11.78
Venezuela,VEN,1992,12.23
Venezuela,VEN,1995,13.21
Venezuela,VEN,1997,10.72
Venezuela,VEN,1998,15.87
Venezuela,VEN,1999,6.11
Venezuela,VEN,2000,-3.75
Venezuela,VEN,2001,2.39
Venezuela,VEN,2002,1.9
Venezuela,VEN,2003,0.3
Venezuela,VEN,2004,0.77
Venezuela,VEN,2005,-4.172
Venezuela,VEN,2006,-2.202
Venezuela,VEN,2007,-1.536
Venezuela,VEN,2008,-1.105
Venezuela,VEN,2009,-3.404
Venezuela,VEN,2010,-1.674
Venezuela,VEN,2011,-1.048
Venezuela,VEN,2012,0.416
Venezuela,VEN,2016,8.319
Venezuela,VEN,2017,7.857
Vietnam,VNM,2007,8.006
Vietnam,VNM,2009,11.202
Vietnam,VNM,2011,9.544
Vietnam,VNM,2012,6.878
Vietnam,VNM,2013,5.196
Vietnam,VNM,2014,3.446
Vietnam,VNM,2015,3.126
Vietnam,VNM,2016,4.728
Vietnam,VNM,2017,6.436
Vietnam,VNM,2018,7.957
Vietnam,VNM,2019,8.29
Vietnam,VNM,2020,7.252
Vietnam,VNM,2021,8.248
Vietnam,VNM,2022,8.69
Vietnam,VNM,2023,9.418
Vietnam,VNM,2024,8.691
Wallis and Futuna,WLF,2019,-6.141
Yemen,YEM,2014,5.064
Zambia,ZMB,2017,37.776
Zambia,ZMB,2018,5.7
Zambia,ZMB,2019,16.521
Zambia,ZMB,2020,4.254
Zambia,ZMB,2021,10.877
Zambia,ZMB,2022,-10.207
Zambia,ZMB,2023,-3.363
Zambia,ZMB,2024,-1.592
Zimbabwe,ZWE,2014,18.244
Zimbabwe,ZWE,2021,-12.215
Zimbabwe,ZWE,2022,4.524
Zimbabwe,ZWE,2023,-0.85
